timestamp,x,y,z
12643085670,-0.362837,-0.180998,1.07339
12650937646,0.537683,-0.526972,2.36727
12651050083,0.537245,-0.526531,2.3673
12660232954,-0.621166,-0.549151,5.06097
12679808149,0.0830167,-0.196728,5.94489
12679918260,0.080276,-0.197081,5.94551
12680017647,0.0766264,-0.197084,5.93618
12687442453,0.725848,-0.847059,7.07242
12736025097,5.9924,-0.617731,6.74936
12753089217,5.27684,-0.716504,3.99476
12753201140,5.24575,-0.708427,4.02304
12753332998,5.29476,-0.722682,3.97543
12769533801,5.82191,0.0003576,2.60885
12811326891,5.56304,0.104139,-2.11079
12811451206,5.56451,0.102423,-2.10446
12811568502,5.56712,0.104971,-2.11275
12813766526,6.07035,0.0612586,-2.37409
12820370246,5.57354,0.445567,-3.38038
12820660651,5.87114,0.484982,-3.62024
12821250435,5.87302,0.484624,-3.61787
12822074543,5.86651,0.479506,-3.60221
12861562661,1.58743,0.549888,-3.65339
12869927546,0.0852863,0.00277782,-3.6069
12870261405,0.150211,0.0111495,-3.69979
12870916975,0.167072,0.0121221,-3.68945
12871028163,-0.0904947,0.000887167,-3.564
12871137930,0.0652954,0.0336786,-3.63772
12871356960,0.0808873,0.0179012,-3.58948
12883654795,0.436034,0.0516063,-2.31682
12883791800,0.437596,0.0473636,-2.31577
12884983637,0.424146,0.237727,-2.29648
12894284083,0.510734,-0.292134,-0.605807
12904850232,-0.274408,0.120717,0.437653
12967140215,-0.580471,-0.540565,4.97526
12976058880,-0.565613,-0.443646,4.98441
